year,Number_of_Matches_Played,Rafael Nadal_win_percentage
2002,2,50.0
2003,25,56.00000000000001
2004,48,62.5
2005,89,88.76404494382022
2006,72,83.33333333333334
2007,91,82.41758241758241
2008,88,88.63636363636364
2009,82,82.92682926829268
2010,81,87.65432098765432
2011,85,82.35294117647058
2012,49,85.71428571428571
2013,88,92.04545454545455
2014,55,80.0
2015,81,75.30864197530865
2016,55,72.72727272727273
2017,81,83.9506172839506
2018,49,91.83673469387756
2019,69,86.95652173913044
2020,34,79.41176470588235
2021,29,82.75862068965517
2022,49,81.63265306122449
2023,4,25.0
